Age,Taxa,Continent,Lat,Long
10450,bison tibia XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
10520,bison tibia XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
10750,bison XAD collagen,North America,36.78884189926347,-99.66754831181991
2255,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
10330,Bison antiquus,North America,48.20145393205163,-102.35569526044706
10305,Bison antiquus tooth,North America,48.20145393205163,-102.35569526044706
10840,bison XAD collagen,North America,36.78884189926347,-99.66754831181991
10700,bison XAD collagen,North America,36.78884189926347,-99.66754831181991
10475,bison thoracic vert XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
3376,Homo sapiens,North America,36.50860350470959,-108.32096386954146
3518,Homo sapiens,North America,36.50860350470959,-108.32096386954146
777,bison,North America,33.667440264841126,-95.57129933386574
881,Homo sapiens,North America,36.50860350470959,-108.32096386954146
838,Homo sapiens,North America,36.50860350470959,-108.32096386954146
914,Homo sapiens,North America,36.50860350470959,-108.32096386954146
917,Homo sapiens,North America,36.50860350470959,-108.32096386954146
816,Homo sapiens,North America,36.50860350470959,-108.32096386954146
854,Homo sapiens,North America,36.50860350470959,-108.32096386954146
3249,bison,North America,44.03889636507144,-106.58487846183802
3508,bison,North America,44.03889636507144,-106.58487846183802
345,Bison bison radius,North America,31.19626020429005,-98.24166462542006
2516,Bison bison collagen,North America,29.89304421455923,-101.15169963469084
361,Bison sp. hair,North America,29.89304421455923,-101.15169963469084
512,bison collagen,North America,30.64813423348284,-97.60104547085605
455,bison collagen,North America,30.64813423348284,-97.60104547085605
3263,bison collagen,North America,44.52667714357571,-107.99549609665722
3194,bison collagen,North America,44.52667714357571,-107.99549609665722
3495,bison collagen,North America,44.52667714357571,-107.99549609665722
1897,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1919,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1938,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1839,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1833,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1927,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1905,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1825,Homo sapiens,North America,37.62613636591383,-109.8047757979883
342,Bison,North America,32.766869441108966,-96.77802013232511
264,Bison,North America,32.766869441108966,-96.77802013232511
208,Bison,North America,32.766869441108966,-96.77802013232511
158,Bison collagen,North America,29.44902252800518,-98.52004294159602
3481,Bison collagen,North America,29.44902252800518,-98.52004294159602
950,bison bison,North America,37.78497617709849,-117.63258352365285
2355,Homo sapiens,Africa,-33.732,18.441
1440,Homo sapiens,Africa,-33.7128,18.4472
9920,Bison antiquus innominate,North America,34.06866510033467,-102.35165372054871
9340,Bison sp.,North America,46.14838217500926,-112.0937216658235
9130,Bison sp.,North America,46.14838217500926,-112.0937216658235
9000,Bison sp.,North America,46.14838217500926,-112.0937216658235
7905,Bison sp. vertebra,North America,46.14838217500926,-112.0937216658235
8280,Bison sp. vertebra,North America,46.14838217500926,-112.0937216658235
8375,Bison Bison occidentalis,North America,31.36629233114335,-101.52297829081591
2460,Homo sapiens,Africa,-33.732,18.441
2490,Homo sapiens,Africa,-33.732,18.441
9600,Mammut americanum; mastodon bone collagen,North America,41.14622613509352,-82.59813349365045
150,Bison Bison,North America,33.61028003632146,-101.82043197977373
240,Bison Bison,North America,33.61028003632146,-101.82043197977373
2720,bison unburned collagen,North America,46.49672542005426,-108.39817682266332
613,Bison occidentalis,North America,42.38395436370489,-93.24046742203501
1030,bison,North America,38.18143829098839,-99.23695633189979
7845,Bison sp.,North America,33.61028003632146,-101.82043197977373
1760,human,South America,-20.336483,-58.099671
6160,Bison sp. lumbar vertebrae and sacrum,North America,42.05184637633645,-95.96009254328506
180,Equus sp. bones,North America,43.20424087050295,-94.20691572385542
230,Bison sp.,North America,41.35752928375264,-83.1437131047625
2240,Homo sapiens paleofece,North America,37.300141763664094,-85.88480250849776
